title,genre,belongs_to_franchise,production_company,runtime,popularity,release_season,release_month,averageRating
To Die For,Fantasy,0,Sony Pictures,106.0,10.448481,Spring,May,6.8
How To Make An American Quilt,Drama,0,NBCUniversal,116.0,4.485958,Fall,Oct,6.3
Se7en,Crime,0,Other,127.0,18.45743,Summer,Sep,8.6
Pocahontas,Adventure,1,Walt Disney Studios,81.0,13.280069,Spring,Jun,6.7
When Night Is Falling,Drama,0,Other,96.0,3.302524,Spring,May,6.5
The Usual Suspects,Drama,0,Other,106.0,16.302466,Summer,Jul,8.5
Mighty Aphrodite,Comedy,0,Other,95.0,15.899134,Summer,Sep,7.0
Lamerica,Drama,0,Other,116.0,1.361286,Winter,Jan,7.5
The Big Green,Action,0,Other,100.0,5.982764,Summer,Sep,5.6
Georgia,Drama,0,Other,115.0,4.093443,Spring,May,6.6
Kids of the Round Table,Adventure,0,Other,89.0,0.307075,Summer,Jul,4.9
Home for the Holidays,Comedy,0,ViacomCBS,103.0,8.416802,Fall,Nov,6.6
The Postman,Comedy,0,Other,108.0,10.168437,Summer,Sep,7.7
The Confessional,Thriller,0,Other,100.0,0.120789,Summer,Sep,7.4
The Indian in the Cupboard,Adventure,0,Sony Pictures,96.0,10.673296,Summer,Jul,6.0
Eye for an Eye,Drama,0,ViacomCBS,101.0,4.733526,Winter,Jan,6.2
Mr. Holland's Opus,Other,0,Other,137.0,7.137117,Fall,Dec,7.3
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,0,Other,89.0,11.700115,Winter,Jan,6.6
Two If by Sea,Comedy,0,Other,96.0,2.174487,Winter,Jan,5.3
Bio-Dome,Comedy,0,Other,88.0,6.387469,Winter,Jan,4.5
Lawnmower Man 2: Beyond Cyberspace,Action,1,WarnerMedia,92.0,2.49535,Winter,Jan,2.5
Two Bits,Drama,0,ViacomCBS,85.0,4.046208,Fall,Oct,6.2
French Twist,Comedy,0,Other,95.0,2.518051,Winter,Feb,6.4
Friday,Comedy,1,WarnerMedia,91.0,14.56965,Spring,Apr,7.3
From Dusk Till Dawn,Horror,1,Other,108.0,15.339153,Winter,Jan,7.2
Fair Game,Action,0,WarnerMedia,91.0,5.912223,Fall,Nov,4.3
Kicking and Screaming,Comedy,0,Other,96.0,3.367276,Fall,Oct,6.8
Bed of Roses,Drama,0,Other,87.0,10.412194,Winter,Jan,6.1
Big Bully,Comedy,0,Other,90.0,2.936443,Winter,Jan,4.7
Screamers,Horror,1,Other,108.0,12.758848,Summer,Sep,6.4
Nico Icon,Documentary,0,Other,70.0,0.133893,Winter,Feb,7.2
The Crossing Guard,Drama,0,ViacomCBS,111.0,5.756462,Fall,Nov,6.3
The Juror,Drama,0,Sony Pictures,118.0,6.010579,Winter,Feb,5.7
The White Balloon,Other,0,Other,85.0,1.196256,Winter,Jan,7.7
Things to Do in Denver When You're Dead,Drama,0,ViacomCBS,116.0,4.486179,Fall,Dec,6.8
Antonia's Line,Drama,0,Other,102.0,2.030174,Summer,Sep,7.4
Once Upon a Time... When We Were Colored,Romance,0,Other,115.0,0.252287,Winter,Jan,7.2
Last Summer in the Hamptons,Comedy,0,Other,108.0,0.531159,Fall,Nov,5.6
Angels and Insects,Drama,0,Other,118.0,2.15166,Summer,Sep,6.8
White Squall,Action,0,Other,129.0,9.568604,Winter,Feb,6.6
Dunston Checks In,Adventure,0,Other,88.0,4.814825,Winter,Jan,5.4
Black Sheep,Comedy,0,Other,87.0,8.963037,Winter,Feb,6.3
Nick of Time,Crime,0,ViacomCBS,90.0,6.848591,Fall,Nov,6.3
The Journey of August King,Drama,0,Other,91.0,0.411424,Summer,Sep,6.5
Mary Reilly,Drama,0,Other,104.0,12.866139,Winter,Feb,5.8
Vampire in Brooklyn,Comedy,0,Other,100.0,9.071127,Fall,Oct,4.6
Beautiful Girls,Comedy,0,ViacomCBS,112.0,4.670562,Winter,Feb,7.1
Broken Arrow,Action,0,Walt Disney Studios,108.0,14.957626,Winter,Feb,6.1
A Midwinter's Tale,Comedy,0,WarnerMedia,99.0,0.513391,Fall,Dec,7.2
La Haine,Drama,0,Other,98.0,12.108196,Spring,May,8.1
Shopping,Action,0,Other,105.0,2.657647,Fall,Dec,5.4
City Hall,Drama,0,WarnerMedia,111.0,4.807223,Winter,Feb,6.2
Bottle Rocket,Comedy,0,Sony Pictures,91.0,6.904831,Winter,Feb,7.0
Mr. Wrong,Comedy,0,Other,96.0,3.329264,Winter,Feb,3.9
Unforgettable,Drama,0,Other,106.0,2.464425,Winter,Feb,6.0
